,Equipe,PDV,Taille,Poids,Unit,Exp,Pays
Udonis Haslem,MIA,F,2.03,106.6,kg,18,États-Unis
Sam Hauser,BOS,F,2.01,98.4,kg,0,États-Unis
Jaxson Hayes,NOP,C-F,2.11,99.8,kg,2,États-Unis
Killian Hayes,DET,G,1.96,88.5,kg,1,France
Gordon Hayward,CHA,F,2.01,102.1,kg,11,États-Unis
Aaron Henry,PHI,F,1.96,95.3,kg,0,États-Unis
Juancho Hernangomez,BOS,F,2.06,97.1,kg,5,Espagne
Willy Hernangomez,NOP,C-F,2.11,113.4,kg,5,Espagne
Tyler Herro,MIA,G,1.96,88.5,kg,2,États-Unis
Buddy Hield,SAC,G,1.93,99.8,kg,5,Bahamas
George Hill,MIL,G,1.93,85.3,kg,13,États-Unis
Solomon Hill,ATL,F,1.98,102.5,kg,8,États-Unis
Aaron Holiday,WAS,G,1.83,83.9,kg,3,États-Unis
Jrue Holiday,MIL,G,1.90,93.0,kg,12,États-Unis
Justin Holiday,IND,F-G,1.98,81.6,kg,8,États-Unis
Richaun Holmes,SAC,F,2.08,106.6,kg,6,États-Unis
Daulton Hommes,NOP,F,2.03,97.5,kg,0,États-Unis
Rodney Hood,MIL,G-F,2.03,94.3,kg,7,États-Unis
Al Horford,BOS,C-F,2.06,108.9,kg,14,République_dominicaine
Talen Horton-Tucker,LAL,G,1.93,106.1,kg,2,États-Unis
Danuel HouseJr.,HOU,F-G,1.98,99.8,kg,5,États-Unis
Dwight Howard,LAL,C-F,2.08,120.2,kg,17,États-Unis
Markus Howard,DEN,G,1.78,79.4,kg,1,États-Unis
Kevin Huerter,ATL,G-F,2.01,89.8,kg,3,États-Unis
Jay Huff,LAL,F,2.16,108.9,kg,0,États-Unis
Elijah Hughes,UTA,G,1.96,97.5,kg,1,États-Unis
De'Andre Hunter,ATL,F-G,2.03,100.2,kg,2,États-Unis
Chandler Hutchison,PHX,F-G,1.98,95.3,kg,3,États-Unis
Bones Hyland,DEN,G,1.88,76.7,kg,0,États-Unis
Serge Ibaka,LAC,F,2.08,106.6,kg,12,Republic_of_the_Congo
Andre Iguodala,GSW,G-F,1.98,97.5,kg,17,États-Unis
Joe Ingles,UTA,F-G,2.03,99.8,kg,7,Australie
Brandon Ingram,NOP,F,2.03,86.2,kg,5,États-Unis
Kyrie Irving,BKN,G,1.88,88.5,kg,10,Australie
Jonathan Isaac,ORL,F,2.08,104.3,kg,3,États-Unis
Frank Jackson,DET,G,1.90,93.0,kg,3,États-Unis
Isaiah Jackson,IND,F,2.08,93.0,kg,0,États-Unis
Josh Jackson,DET,G-F,2.03,93.9,kg,4,États-Unis
Reggie Jackson,LAC,G,1.88,94.3,kg,10,États-Unis
Jaren JacksonJr.,MEM,F-C,2.11,109.8,kg,3,États-Unis
LeBron James,LAL,F,2.06,113.4,kg,18,États-Unis
DeJon Jarreau,IND,G,1.96,83.9,kg,0,États-Unis
Ty Jerome,OKC,G-F,1.96,88.5,kg,2,États-Unis
Isaiah Joe,PHI,G,1.93,74.8,kg,1,États-Unis
Alize Johnson,CHI,F,2.03,96.2,kg,3,États-Unis
Cameron Johnson,PHX,F,2.03,95.3,kg,2,États-Unis
David Johnson,TOR,G,1.93,92.1,kg,0,États-Unis
Jalen Johnson,ATL,F,2.03,99.3,kg,0,États-Unis
James Johnson,BKN,F,2.01,108.9,kg,12,États-Unis
Keldon Johnson,SAS,F-G,1.98,99.8,kg,2,États-Unis
Keon Johnson,LAC,G,1.93,83.9,kg,0,États-Unis
Nikola Jokic,DEN,C,2.11,128.8,kg,6,Serbie
Damian Jones,SAC,C,2.11,111.1,kg,5,États-Unis
Herbert Jones,NOP,F,2.01,93.4,kg,0,États-Unis
Kai Jones,CHA,C-F,2.08,100.2,kg,0,Bahamas
Tre Jones,SAS,G,1.85,83.9,kg,1,États-Unis
Tyus Jones,MEM,G,1.83,88.9,kg,6,États-Unis
Derrick JonesJr.,CHI,F,1.98,95.3,kg,5,États-Unis
DeAndre Jordan,LAL,C,2.11,120.2,kg,13,États-Unis
Cory Joseph,DET,G,1.90,90.7,kg,10,Canada
Georgios Kalaitzakis,MIL,F,2.01,87.1,kg,0,Grèce
Frank Kaminsky,PHX,F-C,2.13,108.9,kg,6,États-Unis
Luke Kennard,LAC,G,1.96,93.4,kg,4,États-Unis
Louis King,SAC,F,2.01,93.0,kg,2,États-Unis
Corey Kispert,WAS,F,1.98,101.6,kg,0,États-Unis
Maxi Kleber,DAL,F,2.08,108.9,kg,4,Allemagne
